Membership No  Date Joined  Active  
    92480      2018-8-19    yes   
    99270      2018-4-21    yes   
    86706      2015-12-5    yes   
    23370      2015-9-19    no    
    68879      2016-9-25    no    
    13707      2015-3-6     no    
    33056      2017-3-14    yes   
    56115      2018-12-21   yes   
    55691      2020-8-18    yes   
    51815      2016-6-19    no    
    94721      2019-5-25    yes   
    63844      2016-12-15   no    
    74794      2020-6-8     no    
    32719      2017-8-4     no    
    28110      2018-12-10   yes   
    97905      2020-6-11    no    
    94608      2020-2-13    no    
    20238      2020-6-3     yes   
    85008      2016-4-2     no    
    40969      2020-12-15   yes   
Membership No  Date Joined  Active  
    92480      2018-8-19    yes   
    99270      2018-4-21    yes   
    86706      2015-12-5    yes   
    33056      2017-3-14    yes   
    56115      2018-12-21   yes   
    55691      2020-8-18    yes   
    94721      2019-5-25    yes   
    28110      2018-12-10   yes   
    20238      2020-6-3     yes   
    40969      2020-12-15   yes   
